state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BOKO-CHAYGAON,28,GANSENG B. SANGMA,National People's Party,62,133,207,280,314,389,472,742,834,1092,1341,1423,1864,2880,4185,5273,6876,7083,,,,,,,,,,,,,,,,7083,9,7092,4.22,167980
Assam,BOKO-CHAYGAON,28,MANOJ BASUMATARY,"United People's Party, Liberal",37,67,96,140,191,254,291,350,406,475,546,603,723,782,825,879,956,968,,,,,,,,,,,,,,,,968,10,978,0.58,167980
Assam,BOKO-CHAYGAON,28,RAMEN SINGH RABHA,Indian National Congress,6533,10964,15049,18713,20359,23285,25464,27095,29801,31867,33386,35602,38025,40155,42392,44866,47118,47357,,,,,,,,,,,,,,,,47357,202,47559,28.31,167980
Assam,BOKO-CHAYGAON,28,RAJU MESH,Bharatiya Janata Party,4043,9575,15965,22732,31016,37887,44743,51940,58669,66319,73353,80905,86853,92623,97630,101495,105664,106614,,,,,,,,,,,,,,,,106614,499,107113,63.77,167980
Assam,BOKO-CHAYGAON,28,BHOGLAL RABHA,All India Trinamool Congress,52,100,168,237,301,370,423,494,566,664,734,812,894,965,1017,1070,1143,1170,,,,,,,,,,,,,,,,1170,8,1178,0.7,167980
Assam,BOKO-CHAYGAON,28,JAMUNA RABHA,Independent,23,65,125,156,181,218,278,325,406,538,727,800,860,977,1253,1340,1412,1426,,,,,,,,,,,,,,,,1426,6,1432,0.85,167980
Assam,BOKO-CHAYGAON,28,LABANYA BORO,Independent,33,49,80,111,147,183,228,309,355,407,448,501,627,686,776,846,953,965,,,,,,,,,,,,,,,,965,11,976,0.58,167980
Assam,BOKO-CHAYGAON,28,NOTA,None of the Above,72,134,183,253,354,462,574,670,760,871,1001,1118,1241,1324,1412,1501,1606,1633,,,,,,,,,,,,,,,,1633,19,1652,0.98,167980
Assam,BONGAIGAON,18,GIRISH BARUAH,Indian National Congress,5387,9258,10769,12312,14921,16243,17452,18853,21055,22537,25788,26898,31049,36869,43032,45964,46935,47002,,,,,,,,,,,,,,,,47002,247,47249,30.14,156780
Assam,BONGAIGAON,18,DIPTIMAYEE CHOUDHURY,Asom Gana Parishad,3593,8278,11760,15556,20690,26064,29485,34068,39083,44204,48315,53169,57363,60481,63321,68263,71089,71483,,,,,,,,,,,,,,,,71483,764,72247,46.08,156780
Assam,BONGAIGAON,18,PRANITA BARMAN,Socialist Unity Centre Of India (COMMUNIST),42,85,136,190,241,307,358,389,465,507,558,619,666,686,714,760,788,789,,,,,,,,,,,,,,,,789,28,817,0.52,156780
Assam,BONGAIGAON,18,CHAKRADHAR DAS,Independent,1569,3071,4647,6617,8750,11886,14282,16592,19454,21216,23435,26322,28218,28965,29565,30849,31637,31860,,,,,,,,,,,,,,,,31860,233,32093,20.47,156780
Assam,BONGAIGAON,18,RAJAN GUPTA,Independent,49,94,168,248,340,428,500,580,641,690,737,811,848,870,902,938,955,959,,,,,,,,,,,,,,,,959,5,964,0.61,156780
Assam,BONGAIGAON,18,SUBRATA SARKAR,Independent,47,109,171,244,302,382,419,458,520,574,651,728,778,855,903,969,1000,1002,,,,,,,,,,,,,,,,1002,10,1012,0.65,156780
Assam,BONGAIGAON,18,NOTA,None of the Above,83,176,328,468,650,838,982,1259,1471,1622,1709,1819,1891,1964,2052,2255,2337,2345,,,,,,,,,,,,,,,,2345,53,2398,1.53,156780
Assam,BORKHOLA,117,AMIT KUMAR KALWAR,Indian National Congress,3186,5587,7476,8607,9562,11083,13828,15177,17103,19586,21719,25906,30158,35055,42207,48757,55537,61754,65902,,,,,,,,,,,,,,,65902,260,66162,37.35,177149
